Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Cape Girardeau County, Missouri",796,29366,78324,158,22096,77096,63224,33575,10127,1069,10127,8262100,155000,751,19239,29366,29,031
"Shelby County, Missouri",549,2459,6061,0,1723,5845,4777,3210,609,40,609,246300,74700,98,1850,2459,29,205
"Webster County, Missouri",617,13496,38082,54,9456,37152,28748,14679,3469,146,3469,2105200,127900,159,10027,13496,29,225
"Atchison County, Missouri",542,2505,5270,6,1748,5180,4366,2959,743,26,743,374400,85600,70,1762,2505,29,005
"Bates County, Missouri",673,6706,16374,36,4533,16061,12927,7855,1830,105,1830,1038600,114500,164,4876,6706,29,013
"Benton County, Missouri",609,7947,18989,11,4016,18789,16151,14182,1341,180,1341,766200,116500,390,6606,7947,29,015
"Carter County, Missouri",607,2366,6197,0,1446,6142,4855,3257,565,57,565,283300,116600,65,1801,2366,29,035
"Dade County, Missouri",604,3117,7590,8,2085,7455,6269,3949,690,27,690,336500,81300,54,2427,3117,29,057
"Linn County, Missouri",554,5068,12186,0,3421,12076,9580,6402,1406,85,1406,733100,82700,59,3662,5068,29,115
"Howell County, Missouri",601,15922,40102,59,10165,39699,31719,18259,5034,621,5034,2856500,104500,257,10888,15922,29,091
"Johnson County, Missouri",791,19939,53689,29,15943,49811,43250,22189,8035,658,8035,6530600,151100,356,11904,19939,29,101
"Laclede County, Missouri",666,13866,35507,12,9611,35094,27657,15958,4358,318,4358,2638400,114400,227,9508,13866,29,105
"Maries County, Missouri",569,3645,8884,6,2368,8754,7263,4626,981,52,981,479800,122200,35,2664,3645,29,125
"Phelps County, Missouri",718,17601,44789,100,12324,43977,36548,20198,6975,707,6975,4668100,129400,496,10626,17601,29,161
"Platte County, Missouri",1001,38613,98824,296,31346,97990,77929,41301,13192,1163,13192,13773500,216600,528,25421,38613,29,165
"St. Francois County, Missouri",648,24910,66342,22,17277,59676,54059,29821,7905,738,7905,5043300,120700,590,17005,24910,29,187
"Andrew County, Missouri",757,6807,17403,0,5057,17198,13991,7321,1484,15,1484,1015600,140100,152,5323,6807,29,003
"Carroll County, Missouri",538,3552,8843,1,2244,8751,7045,4642,983,51,983,451600,84100,29,2569,3552,29,033
