Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"San Mateo County, California",2158,261969,765935,42523,209345,762101,622386,276444,105105,4948,105105,227539800,994100,1801,156864,261969,06,081
"Tuolumne County, California",970,22427,53932,106,13196,50912,46031,31487,6771,509,6771,6195400,278900,646,15656,22427,06,109
"San Joaquin County, California",1159,226727,732212,4452,173012,723069,553741,241055,100630,4530,100630,120102700,313800,2757,126097,226727,06,077
"Amador County, California",1056,14090,37829,17,7921,34174,32677,18278,3292,311,3292,3292500,296400,647,10798,14090,06,005
"Phillips County, Colorado",710,1668,4318,0,1223,4239,3327,1915,495,12,495,312600,155500,79,1173,1668,08,095
"Archuleta County, Colorado",934,5670,12908,3,3579,12803,10884,9228,1442,291,1442,1295300,295500,225,4228,5670,08,007
"Denver County, Colorado",1217,294358,693417,24632,236166,687455,565681,314045,148275,9668,148275,187351600,357300,1980,146083,294358,08,031
"Kiowa County, Colorado",594,593,1449,3,416,1425,1082,785,150,25,150,71600,80100,19,443,593,08,061
"Huerfano County, Colorado",631,3282,6583,0,1739,6436,5576,5229,930,0,930,492100,157200,160,2352,3282,08,055
"Baca County, Colorado",475,1642,3563,0,1107,3462,2919,2254,464,61,464,184000,82200,25,1178,1642,08,009
"Chaffee County, Colorado",800,7958,19164,31,5107,17916,16506,10875,1855,210,1855,1541100,335900,245,6103,7958,08,015
"Gilpin County, Colorado",1109,2653,5924,18,2162,5874,5065,3673,506,11,506,536700,337400,46,2147,2653,08,047
"Kit Carson County, Colorado",763,2977,7635,28,2240,7025,6025,3548,928,99,928,636800,140800,53,2049,2977,08,063
"Garfield County, Colorado",1215,21138,58538,1167,17396,57917,45135,23875,7002,464,7002,8488600,337900,351,14136,21138,08,045
"Gunnison County, Colorado",1005,6643,16537,409,5310,16489,14008,11854,2585,675,2585,2462000,339400,186,4058,6643,08,051
"Jefferson County, Colorado",1285,230153,570427,10419,181549,564045,468288,238711,68118,2791,68118,89897900,366800,1963,162035,230153,08,059
"Mineral County, Colorado",719,375,823,0,259,823,750,1324,42,26,42,24700,293600,31,333,375,08,079
"Ouray County, Colorado",1139,2194,4722,0,1524,4722,4110,3208,694,84,694,736800,419900,65,1500,2194,08,091
"Rio Blanco County, Colorado",734,2403,6465,16,1803,6339,4944,3382,722,207,722,494600,203100,78,1681,2403,08,103
"Sedgwick County, Colorado",575,1017,2350,0,672,2318,1863,1261,289,39,289,160900,87300,26,728,1017,08,115
"Conejos County, Colorado",533,3068,8142,2,1820,8104,6161,4398,623,37,623,246100,117600,36,2445,3068,08,021
"Costilla County, Colorado",612,1687,3687,0,861,3687,3119,2817,498,62,498,215100,113200,29,1189,1687,08,023
"Adams County, Colorado",1270,164353,497115,9254,138723,493596,375829,171038,57178,3342,57178,72184200,273000,1505,107175,164353,08,001
"Eagle County, Colorado",1507,17750,54357,1667,15508,54259,43557,32154,5219,1449,5219,7711000,538600,463,12531,17750,08,037
"Lake County, Colorado",955,3353,7585,24,2680,7533,6524,4800,1268,85,1268,1101200,214000,50,2085,3353,08,065
"Moffat County, Colorado",777,5210,13060,52,4042,12930,10109,6282,1666,239,1666,1287700,170700,136,3544,5210,08,081
"Pitkin County, Colorado",1284,7018,17909,1720,5408,17877,15391,13794,2490,1029,2490,3271000,623400,147,4528,7018,08,097
"Cheyenne County, Colorado",579,742,2039,0,525,1998,1423,931,192,27,192,76600,104000,9,550,742,08,017
"Crowley County, Colorado",815,1194,5630,0,797,4431,5005,1584,329,39,329,236900,71700,35,865,1194,08,025
"Dolores County, Colorado",713,740,1841,0,464,1841,1493,1495,140,59,140,73100,115900,30,600,740,08,033
"Jackson County, Colorado",675,575,1296,0,416,1291,1056,1315,165,45,165,59200,195400,36,410,575,08,057
"Larimer County, Colorado",1228,133527,338161,2484,103462,335713,278231,145672,47280,1912,47280,58210700,336200,1318,86247,133527,08,069
"Montezuma County, Colorado",762,10615,25909,3,7144,25738,20679,12313,3069,184,3069,2167200,208300,246,7546,10615,08,083
"San Miguel County, Colorado",1125,3441,7968,504,2680,7942,6650,6838,1360,380,1360,1728600,491100,125,2081,3441,08,113
"Boulder County, Colorado",1411,125894,321030,7695,100018,318941,265772,134326,47801,2949,47801,70047400,462200,943,78093,125894,08,013
"Las Animas County, Colorado",702,6477,14179,18,4081,13606,11923,8544,2011,242,2011,1252000,147100,145,4466,6477,08,071
"Yuma County, Colorado",769,4051,10069,2,2910,9927,7643,4525,1490,54,1490,941900,171600,61,2561,4051,08,125
"Routt County, Colorado",1215,9552,24874,423,7612,24723,20919,16694,2823,1407,2823,3360500,510600,325,6729,9552,08,107
"Summit County, Colorado",1402,9707,30429,924,7786,30351,26020,30911,3291,316,3291,4805800,563000,154,6416,9707,08,117
"Clear Creek County, Colorado",913,4640,9379,30,3386,9275,8144,5771,1092,12,1092,1073800,357000,27,3548,4640,08,019
"Delta County, Colorado",851,11882,30346,46,6900,29216,24876,14763,3441,377,3441,2715600,219000,291,8441,11882,08,029
"Pueblo County, Colorado",803,63762,164685,592,42961,161283,131204,70928,22756,1156,22756,18486100,155400,1088,41006,63762,08,101
"Morgan County, Colorado",775,10785,28257,0,7923,27900,21640,11718,3850,218,3850,2985400,183900,94,6935,10785,08,087
"Park County, Colorado",1106,7119,17392,103,5271,17281,14699,14449,1158,8,1158,1272500,284800,205,5961,7119,08,093
"Mesa County, Colorado",934,61033,149998,265,44249,148901,120743,65878,20003,567,20003,18639900,214400,906,41030,61033,08,077
"Prowers County, Colorado",677,4963,12052,1,3454,11913,9333,5976,1796,199,1796,1212800,94100,82,3167,4963,08,099
"El Paso County, Colorado",1119,253379,688153,2417,202113,655933,537548,268622,91815,4711,91815,106308300,254300,2747,161564,253379,08,041
"Washington County, Colorado",693,2030,4840,0,1472,4545,3877,2406,650,29,650,342000,138700,75,1380,2030,08,121
"Arapahoe County, Colorado",1307,237559,636671,14068,196394,630620,500149,248618,87727,5210,87727,117345300,327800,1892,149832,237559,08,005
"Broomfield County, Colorado",1583,26721,66120,1301,22121,65792,52250,27647,8999,499,8999,13939500,382800,88,17722,26721,08,014
"New Haven County, Connecticut",1133,329857,859339,16912,244592,849247,705188,366266,125562,12533,125562,139828300,246700,5230,204295,329857,09,009
"Tolland County, Connecticut",1119,55232,151269,1246,43823,148565,128117,59418,15434,1040,15434,17670300,251300,818,39798,55232,09,013
"Hartford County, Connecticut",1076,349064,894730,13933,262654,881330,728562,378700,123952,10873,123952,129973800,237700,5038,225112,349064,09,003
"Windham County, Connecticut",895,44449,116538,277,33631,114813,96042,49644,13489,982,13489,11674400,198000,708,30960,44449,09,015
"Middlesex County, Connecticut",1162,66892,163368,1164,51021,161452,137404,76124,17630,1544,17630,19757000,284900,1393,49262,66892,09,007
"New Castle County, Delaware",1141,203855,555133,10320,159124,546635,448732,222146,65193,6588,65193,74716500,254500,3824,138662,203855,10,003
"Sussex County, Delaware",1018,89365,219540,461,60000,216801,182501,135529,18273,1346,18273,17044500,248900,2329,71092,89365,10,005
"District of Columbia, District of Columbia",1487,281322,684498,125907,219549,674258,573275,311545,163751,12314,163751,256328000,568400,3257,117571,281322,11,001
"Okaloosa County, Florida",1101,77403,200737,315,58004,188311,160704,96376,28637,2516,28637,31798000,207600,1013,48766,77403,12,091
"Taylor County, Florida",686,7356,22098,0,4705,18239,18353,11074,1361,461,1361,656100,82900,357,5995,7356,12,123
"Washington County, Florida",689,8484,24566,6,5152,21882,20237,10863,1913,131,1913,1058900,109800,182,6571,8484,12,133
"Duval County, Florida",1037,354387,924229,7660,273722,904689,736370,403548,153499,15422,153499,159343900,166900,8733,200888,354387,12,031
"Bradford County, Florida",829,8993,26979,60,5860,23454,22163,11020,2825,101,2825,2099200,97200,163,6168,8993,12,007
"Brevard County, Florida",1018,228888,576808,1399,148790,571935,483529,276294,62063,9675,62063,64552100,177400,3996,166825,228888,12,009
"Clay County, Florida",1129,73398,207291,105,55754,204438,164191,79765,19294,848,19294,20958200,174400,1241,54104,73398,12,019
"Lafayette County, Florida",625,2095,8744,4,1264,7204,7122,3181,442,116,442,231900,105900,54,1653,2095,12,067
"Lake County, Florida",1043,130190,335362,391,80777,331957,277084,153983,33429,3296,33429,35350200,167200,4114,96761,130190,12,069
"Nassau County, Florida",1058,31241,80578,55,21480,79567,66527,37991,6724,541,6724,7122500,218100,593,24517,31241,12,089
"Pinellas County, Florida",1064,407720,957875,6821,268037,946661,817802,507692,139705,13811,139705,153287500,183000,11696,268015,407720,12,103
"Polk County, Florida",944,231260,668671,1328,154734,660644,535543,291796,72785,6255,72785,69312600,135400,5912,158475,231260,12,105
"St. Lucie County, Florida",1136,112872,305591,412,71533,303304,251190,139960,30256,4105,30256,34276500,165700,2844,82616,112872,12,111
"Glades County, Florida",746,4433,13363,64,2103,12147,11359,7013,911,138,911,673400,76400,201,3522,4433,12,043
"Hendry County, Florida",768,12027,40127,582,8914,39475,30659,14728,4064,197,4064,2789600,82000,195,7963,12027,12,051
"Indian River County, Florida",957,57403,150984,131,31161,149716,128348,79216,12565,5091,12565,12724100,185800,2326,44838,57403,12,061
"Jackson County, Florida",656,16894,48472,6,10248,40870,40615,21058,4847,443,4847,2523200,98800,207,12047,16894,12,063
"Palm Beach County, Florida",1320,548216,1446277,11695,367528,1433604,1199454,682671,172077,19012,172077,232060100,264400,14781,376139,548216,12,099
"St. Johns County, Florida",1261,86268,235503,107,63363,233891,190328,103522,18551,1856,18551,23270900,287700,1466,67717,86268,12,109
"Seminole County, Florida",1198,167304,455086,1961,130333,451979,369943,188529,58235,6931,58235,71107100,224000,3444,109069,167304,12,117
"Miami-Dade County, Florida",1257,870051,2715516,63066,658570,2690040,2225127,1016653,420995,33621,420995,542765700,268200,15102,449056,870051,12,086
"Bay County, Florida",1009,70199,182482,846,50774,177687,147639,102266,25654,8727,25654,25973000,172600,1696,44545,70199,12,005
"Flagler County, Florida",1159,40629,107139,143,23061,106747,90732,50961,9833,336,9833,10969000,200000,1113,30796,40629,12,035
"Franklin County, Florida",803,4297,11736,15,2552,10125,9984,8675,1046,479,1046,793200,139500,165,3251,4297,12,037
"Hamilton County, Florida",594,4485,14269,5,2866,10987,11861,5805,1345,240,1345,684900,71100,131,3140,4485,12,047
"Liberty County, Florida",581,2381,8365,0,1555,6954,7167,3586,588,94,588,240500,66600,58,1793,2381,12,077
"Sumter County, Florida",861,54636,120999,56,17338,111788,113104,69130,5595,2227,5595,5103600,246500,1893,49041,54636,12,119
"Gadsden County, Florida",678,17080,46017,18,10776,43046,36778,19866,4946,421,4946,2780500,99000,129,12134,17080,12,039
"Holmes County, Florida",682,7016,19430,9,4131,17620,16046,8687,1649,107,1649,912600,93200,70,5367,7016,12,059
"Lee County, Florida",1093,271861,718679,1954,163955,713427,603414,388044,79907,8122,79907,91002200,207700,7500,191954,271861,12,071
"Marion County, Florida",859,136514,348371,547,74721,339473,290875,167450,32980,4574,32980,26709200,127100,4385,103534,136514,12,083
"Collier County, Florida",1228,140942,363922,3129,84146,362009,306944,210825,38513,4816,38513,49616000,340100,4527,102429,140942,12,021
"Orange County, Florida",1160,458613,1321194,16135,371721,1309805,1056717,526428,207894,23898,207894,247091800,216000,10935,250719,458613,12,095
"Pasco County, Florida",1025,199227,510593,857,127093,504686,419278,240220,55771,5133,55771,57753300,149000,6117,143456,199227,12,101
"Highlands County, Florida",776,41026,102101,242,20002,100987,86414,55578,10113,1278,10113,7265500,93800,1540,30913,41026,12,055
"Suwannee County, Florida",721,15083,43924,0,9475,42426,35583,19264,4242,338,4242,2250000,95200,393,10841,15083,12,121
"DeSoto County, Florida",684,11996,36399,362,7095,34677,30080,15102,3613,445,3613,2380300,84400,222,8383,11996,12,027
"Calhoun County, Florida",661,4556,14444,0,2745,12409,11692,6012,802,155,802,394200,81300,108,3754,4556,12,013
"Columbia County, Florida",827,24985,69105,11,16534,64352,55717,28893,6657,795,6657,5043800,117800,503,18328,24985,12,023
"Dixie County, Florida",644,6520,16437,0,3375,14879,13784,9413,1489,85,1489,692000,74500,263,5031,6520,12,029
"Putnam County, Florida",708,28264,72766,74,16165,71607,58773,37284,7623,560,7623,4495300,84500,1097,20641,28264,12,107
"Union County, Florida",641,3892,15239,63,2768,9724,12682,4567,1202,46,1202,674700,104400,12,2690,3892,12,125
"Manatee County, Florida",1102,143652,373853,1034,88304,370913,311554,187302,40809,6755,40809,47308700,218900,4346,102843,143652,12,081
"Levy County, Florida",707,16433,39961,4,9544,39679,32804,20424,3748,367,3748,2206400,99400,261,12685,16433,12,075
"Baker County, Florida",769,8625,27785,0,6209,25164,21823,9903,2101,31,2101,1376200,120900,87,6524,8625,12,003
"Volusia County, Florida",1000,212985,527634,2130,133590,522429,444927,259323,63655,5642,63655,65103600,164200,5323,149330,212985,12,127
"Leon County, Florida",1004,112918,288102,2355,89482,284753,240470,128876,53008,5502,53008,54608700,195000,1653,59910,112918,12,073
"Madison County, Florida",698,6682,18474,30,3977,16422,15393,8581,1544,291,1544,889500,87400,223,5138,6682,12,079
"Escambia County, Florida",967,118740,311522,841,85172,296511,253420,140523,46142,7615,46142,43611900,133600,1775,72598,118740,12,033
"Hernando County, Florida",958,73541,182696,207,41714,180731,152965,86209,16340,1709,16340,15231900,130300,2124,57201,73541,12,053
"Calhoun County, Georgia",479,1853,6428,3,1251,4533,5433,2402,627,41,627,194400,49000,22,1226,1853,13,037
"Macon County, Georgia",564,4673,13480,4,2951,11514,11155,6103,1636,104,1636,804000,63700,97,3037,4673,13,193
"Bleckley County, Georgia",613,4168,12775,3,2581,12425,10338,5318,1184,100,1184,569500,97900,59,2984,4168,13,023
"Bibb County, Georgia",803,58010,153490,627,39868,149953,120201,70205,27498,3385,27498,21270900,116500,1107,30512,58010,13,021
"Marion County, Georgia",572,3331,8484,45,2131,8389,7075,4189,874,56,874,390000,89500,28,2457,3331,13,197
"Schley County, Georgia",653,1877,5211,0,1307,5211,4179,2191,568,40,568,293700,111600,46,1309,1877,13,249
"Dooly County, Georgia",537,4861,13905,0,3318,12588,11726,6253,1468,110,1468,681500,83700,24,3393,4861,13,093
"Franklin County, Georgia",659,8305,22514,29,5246,22307,18307,10604,2843,307,2843,1612000,106200,171,5462,8305,13,119
"Effingham County, Georgia",986,20489,58689,19,16734,58033,44642,22110,4954,214,4954,4531800,159100,155,15535,20489,13,103
"Lamar County, Georgia",643,6368,18513,0,3934,18296,15239,7569,1944,241,1944,1332900,134500,100,4424,6368,13,171
"Emanuel County, Georgia",596,8392,22499,175,5465,21749,17372,9946,2885,138,2885,1430300,74100,39,5507,8392,13,107
"Quitman County, Georgia",686,934,2276,0,511,2276,1892,2034,292,39,292,155800,65900,145,642,934,13,239
"Jasper County, Georgia",888,5087,13784,8,3417,13695,10814,6385,1289,56,1289,858500,122300,351,3798,5087,13,159
"Johnson County, Georgia",541,3361,9730,0,2138,9483,8028,4109,1068,51,1068,415200,66700,62,2293,3361,13,167
"Liberty County, Georgia",1056,23232,62108,136,18865,56139,46086,27997,12900,1926,12900,12818400,121500,541,10332,23232,13,179
"Mitchell County, Georgia",644,7889,22432,38,5552,20204,17722,9047,2913,93,2913,1653900,86200,230,4976,7889,13,205
"Seminole County, Georgia",726,3325,8437,34,1903,8335,6844,4834,1049,161,1049,663200,89500,148,2276,3325,13,253
"Tift County, Georgia",649,15058,40510,46,11274,40100,31406,16655,6175,0,6175,4053300,118900,51,8883,15058,13,277
"Twiggs County, Georgia",577,3031,8284,27,1509,8207,6863,4240,626,13,626,262900,63200,9,2405,3031,13,289
"Polk County, Georgia",699,15011,41621,41,10628,41439,32249,16986,5251,215,5251,3387600,105400,259,9760,15011,13,233
"Talbot County, Georgia",657,2766,6378,6,1687,6361,5437,3413,591,38,591,290900,80000,62,2175,2766,13,263
"Taylor County, Georgia",601,3437,8193,9,2149,8075,6705,4589,987,52,987,500200,82700,42,2450,3437,13,269
"Terrell County, Georgia",649,3247,8859,20,2175,8502,7100,4173,1406,85,1406,780000,103300,45,1841,3247,13,273
"Thomas County, Georgia",806,17352,44730,19,12016,44104,35133,20615,6389,504,6389,4501900,133800,308,10963,17352,13,275
"Toombs County, Georgia",595,10403,27048,24,7046,26764,20598,12182,4288,396,4288,2355000,95500,234,6115,10403,13,279
"Wilkinson County, Georgia",642,3237,9078,5,2008,8990,7196,4477,799,18,799,349400,70300,56,2438,3237,13,319
"Ben Hill County, Georgia",626,6569,17154,0,4393,16822,13359,7978,2664,42,2664,1535100,80100,65,3905,6569,13,017
"Burke County, Georgia",585,8184,22550,66,5686,22324,17390,10004,2410,86,2410,1293800,87900,102,5774,8184,13,033
"Catoosa County, Georgia",759,24636,66299,0,18188,65808,52889,27220,6156,422,6156,4356100,140000,507,18480,24636,13,047
"Chattahoochee County, Georgia",1263,2550,10767,0,2054,6038,8538,3346,1887,557,1887,2207800,69000,0,663,2550,13,053
"Chattooga County, Georgia",591,9098,24817,13,5584,23139,19894,10956,3018,271,3018,1636400,69600,292,6080,9098,13,055
"Columbia County, Georgia",1134,46840,147295,50,37386,143227,114038,56178,9814,1947,9814,11132300,192200,2406,37026,46840,13,073
"Decatur County, Georgia",660,10153,26833,65,6346,25633,20981,12204,4392,357,4392,2713000,109700,79,5761,10153,13,087
"Floyd County, Georgia",730,35633,96824,158,24944,94719,76630,40505,14164,1257,14164,10359900,129600,563,21469,35633,13,115
"Forsyth County, Georgia",1319,73675,219880,585,61646,219252,165073,77798,12046,680,12046,15820000,321000,949,61629,73675,13,117
"Habersham County, Georgia",738,15195,44289,93,10015,42331,35482,18365,3528,374,3528,2394400,146000,472,11667,15195,13,137
"Lowndes County, Georgia",788,40472,114582,134,29075,109349,89905,46967,19312,2325,19312,15030400,135100,799,21160,40472,13,185
"Meriwether County, Georgia",672,8151,21113,28,5377,21024,17052,9981,2681,56,2681,1431100,98000,186,5470,8151,13,199
"Monroe County, Georgia",744,9803,27010,60,6621,25983,22125,11039,2040,146,2040,1403700,163800,31,7763,9803,13,207
"Sumter County, Georgia",689,11758,30352,6,7921,29449,24015,13899,5197,484,5197,3445000,90300,209,6561,11758,13,261
"Taliaferro County, Georgia",533,612,1665,0,358,1665,1463,1018,189,31,189,108500,67100,4,423,612,13,265
"Baker County, Georgia",486,1385,3189,0,755,3189,2633,1889,446,27,446,165000,75500,50,939,1385,13,007
"Butts County, Georgia",782,8157,23750,0,5751,20980,19323,9382,2316,222,2316,1655400,121800,484,5841,8157,13,035
"Candler County, Georgia",612,3965,10827,3,2710,10563,8433,4765,1587,127,1587,916100,91200,0,2378,3965,13,043
"Carroll County, Georgia",855,41150,116022,177,30327,114801,91456,45253,14300,973,14300,11295200,130200,513,26850,41150,13,045
"Crawford County, Georgia",699,4637,12344,57,3097,12178,10083,5353,1040,17,1040,507800,92900,25,3597,4637,13,079
"Crisp County, Georgia",656,8329,22846,32,5230,22436,17783,10777,3539,491,3539,2043200,85200,185,4790,8329,13,081
"Coweta County, Georgia",1036,51308,140516,419,40525,139961,109381,53747,14293,645,14293,14739100,201500,516,37015,51308,13,077
"Cobb County, Georgia",1157,277222,745057,4077,230389,740236,585321,297663,99060,7159,99060,117934000,237800,4160,178162,277222,13,067
"Dade County, Georgia",703,6070,16227,24,4142,16002,13540,7288,1560,109,1560,928600,126700,143,4510,6070,13,083
"Walton County, Georgia",950,31133,90132,54,23798,89273,69892,33407,8311,578,8311,7550800,175500,352,22822,31133,13,297
"Brooks County, Georgia",701,6350,15622,33,4021,15542,12647,7777,1602,175,1602,1046200,96900,83,4748,6350,13,027
"Dodge County, Georgia",600,7694,20919,18,4886,19029,17162,9810,2603,89,2603,1160200,75800,55,5091,7694,13,091
"Elbert County, Georgia",634,7491,19212,7,4635,18975,15440,9600,2025,147,2025,1161200,80600,288,5466,7491,13,105
"Fayette County, Georgia",1274,39753,111369,391,30727,110687,89345,42106,7381,341,7381,9485300,269900,693,32372,39753,13,113
"Jenkins County, Georgia",533,3409,8827,0,2234,8752,6987,4652,1015,204,1015,516500,66500,16,2394,3409,13,165
"Newton County, Georgia",984,36626,106497,209,27958,105564,81432,38978,11831,271,11831,11503500,139900,462,24795,36626,13,217
"Pickens County, Georgia",843,11841,30832,79,8197,30517,25169,13922,2854,206,2854,2184500,185700,342,8987,11841,13,227
"Colquitt County, Georgia",648,15374,45606,148,11017,45146,34737,18567,5958,716,5958,3809300,83200,522,9416,15374,13,071
"Dawson County, Georgia",857,8711,23861,17,6507,23602,19482,11140,1594,67,1594,1282200,215500,182,7117,8711,13,085
"Clayton County, Georgia",955,92845,278666,3741,75624,275105,208902,105298,45896,6849,45896,43988400,97800,1274,46949,92845,13,063
"Hall County, Georgia",931,63931,195961,201,49566,195018,151110,71903,20060,1365,20060,19144500,183200,876,43871,63931,13,139
"Heard County, Georgia",676,4489,11677,12,3056,11529,9214,5187,1357,102,1357,805600,96900,10,3132,4489,13,149
"Hancock County, Georgia",738,2991,8535,13,1697,5910,7390,5371,803,78,803,451000,79800,201,2188,2991,13,141
"McDuffie County, Georgia",649,8103,21498,0,5691,21143,16576,9323,3173,117,3173,1928700,105300,195,4930,8103,13,189
"Morgan County, Georgia",786,6656,18235,11,4706,18058,14560,7679,1682,36,1682,1095300,224800,39,4974,6656,13,211
"Dougherty County, Georgia",729,34780,91049,555,24588,89191,71320,40637,18983,2120,18983,13813000,103900,626,15797,34780,13,095
"Fannin County, Georgia",805,10461,24925,14,5689,24775,21172,17028,2286,781,2286,1481600,185600,462,8175,10461,13,111
"Houston County, Georgia",897,56146,151682,21,43336,148179,116745,62266,19990,1616,19990,17917700,138600,777,36156,56146,13,153
"Laurens County, Georgia",616,17183,47418,19,10914,46507,36928,21497,6411,324,6411,3663300,88800,168,10772,17183,13,175
"Spalding County, Georgia",856,24137,64719,61,16280,63667,50639,27269,9614,676,9614,7959600,122300,946,14523,24137,13,255
"Telfair County, Georgia",606,4931,16115,0,2844,12847,13604,7263,1892,228,1892,886700,64000,71,3039,4931,13,271
"Union County, Georgia",731,9070,22775,0,4465,22252,19369,14523,2001,207,2001,1172300,197200,312,7069,9070,13,291
"Washington County, Georgia",645,7359,20461,53,5011,18681,16439,9247,2452,200,2452,1306200,83300,177,4907,7359,13,303
"White County, Georgia",790,11588,28928,15,7430,28749,23985,16194,2875,574,2875,2077900,166100,284,8713,11588,13,311
"Paulding County, Georgia",1101,52389,155840,282,43051,155101,119266,55449,12376,467,12376,13694200,161400,1207,40013,52389,13,223
"Pike County, Georgia",779,6106,18082,0,4497,17832,14417,6931,1049,135,1049,782200,165800,89,5057,6106,13,231
"Richmond County, Georgia",850,72165,201463,811,52083,191547,159492,88145,33723,4752,33723,27963000,104700,2301,38442,72165,13,245
"Tattnall County, Georgia",549,8237,25353,2,5772,18969,20775,9984,2809,265,2809,1261500,88500,169,5428,8237,13,267
"Berrien County, Georgia",626,7322,19025,15,4624,18750,14957,8767,2426,111,2426,1408000,85300,35,4896,7322,13,019
"Walker County, Georgia",732,25709,68824,26,17435,67391,55487,30288,7216,805,7216,4820200,114000,714,18493,25709,13,295
"Gwinnett County, Georgia",1203,288724,902298,4890,245608,897497,684606,305549,97546,7304,97546,118930500,200400,4060,191178,288724,13,135
"Barrow County, Georgia",954,25319,76887,88,20084,76750,58691,27914,6912,473,6912,6465300,146500,535,18407,25319,13,013
"Charlton County, Georgia",546,3559,12983,11,2183,11839,10655,4492,955,84,955,432200,82600,35,2604,3559,13,049
"Clinch County, Georgia",410,2502,6743,0,1526,6648,5118,2997,698,70,698,265200,57100,29,1804,2502,13,065
"Bartow County, Georgia",894,37351,103620,383,28421,102664,81090,40694,12695,493,12695,10963900,151700,706,24656,37351,13,015
"Douglas County, Georgia",1046,48968,141840,500,39265,140657,109399,52439,17441,1080,17441,18329000,153100,838,31527,48968,13,097
"Grady County, Georgia",746,9037,24926,0,6107,24744,19358,10848,3112,197,3112,2162000,112500,194,5925,9037,13,131
"Jeff Davis County, Georgia",555,5270,14991,15,3461,14940,11317,6500,1678,135,1678,792500,76500,103,3592,5270,13,161
"Montgomery County, Georgia",625,3039,9036,14,2082,8581,7359,3956,842,95,842,412700,79400,68,2197,3039,13,209
"Oglethorpe County, Georgia",735,5621,14784,10,3868,14639,12000,6616,1190,96,1190,699300,117000,85,4431,5621,13,221
"Randolph County, Georgia",578,2616,7087,16,1566,6974,5321,3548,1114,65,1114,463500,77300,27,1502,2616,13,243
"Rockdale County, Georgia",999,30521,89011,465,23859,88195,69309,33538,9736,1248,9736,9945900,157100,675,20785,30521,13,247
"Ware County, Georgia",652,13901,35599,77,9031,33219,27971,16623,4864,319,4864,2856900,82000,268,9037,13901,13,299
"Wayne County, Georgia",598,10353,29767,0,6706,27687,23173,12241,3739,219,3739,2131700,107900,205,6614,10353,13,305
"Wheeler County, Georgia",455,1937,7939,0,870,6616,6739,2619,747,47,747,238700,63300,9,1190,1937,13,309
"Wilcox County, Georgia",514,2606,8846,9,1506,6758,7322,3507,626,63,626,246000,68200,8,1980,2606,13,315
"Baldwin County, Georgia",705,16122,45286,39,10994,43444,37591,20487,7116,771,7116,4918300,112500,185,9006,16122,13,009
"Bulloch County, Georgia",786,26955,74782,208,20903,73930,61320,30752,12542,1616,12542,10141400,135200,310,14413,26955,13,031
"Clarke County, Georgia",845,47224,124602,2323,36350,123752,105156,52610,28804,2435,28804,25216400,163700,666,18420,47224,13,059
"Echols County, Georgia",620,1559,3994,8,1031,3994,3251,1838,470,46,470,250600,58900,25,1089,1559,13,101
"Glynn County, Georgia",894,33777,83974,144,23912,82952,67031,42682,12772,1742,12772,11140300,168700,570,21005,33777,13,127
"Haralson County, Georgia",675,11128,28956,0,7380,28609,22798,12403,3523,87,3523,2248300,116900,180,7605,11128,13,143
"Jefferson County, Georgia",545,5609,15772,0,3584,15311,12445,7272,1910,180,1910,968100,74300,106,3699,5609,13,163
"Jones County, Georgia",764,10510,28548,13,7215,28231,22650,11796,2090,124,2090,1494500,123400,96,8420,10510,13,169
"Murray County, Georgia",700,14081,39557,29,10256,39341,30742,16061,4338,266,4338,2829200,100200,166,9743,14081,13,213
"Muscogee County, Georgia",877,72924,196670,1203,53097,186589,153031,84416,37908,5125,37908,34487800,141700,1132,35016,72924,13,215
"Rabun County, Georgia",678,6563,16457,0,3541,16232,14051,12600,1653,197,1653,894200,164900,293,4910,6563,13,241
"Stewart County, Georgia",494,1826,6042,0,1107,4000,5360,2349,535,20,535,238100,50900,12,1291,1826,13,259
"Treutlen County, Georgia",558,2641,6777,0,1669,6438,5376,3376,768,59,768,332000,70900,85,1873,2641,13,283
"Irwin County, Georgia",549,3291,9268,0,2008,9125,7517,4074,849,0,849,388600,74300,56,2442,3291,13,155
"Atkinson County, Georgia",449,2785,8265,0,2112,8238,6248,3508,692,78,692,256100,60100,49,2093,2785,13,003
"Bacon County, Georgia",516,3966,11228,19,2666,10522,8628,4791,1255,113,1255,559800,73000,28,2711,3966,13,005
"Brantley County, Georgia",586,6564,18561,51,3894,18470,14554,8119,1293,54,1293,655900,68200,65,5271,6564,13,025
"Washington County, Idaho",671,4018,10025,0,2474,9931,7915,4632,1194,28,1194,693100,152200,63,2824,4018,16,087
"Cassia County, Idaho",634,7904,23615,32,6059,23298,16792,8685,2396,257,2396,1215100,151800,40,5508,7904,16,031
"Gem County, Idaho",745,6583,17052,0,4110,16924,13580,7281,1747,27,1747,1173600,159300,203,4836,6583,16,045
