Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
542,4062,10286,7,2443,9953,8426,5320,1131,158,1131,522600.0,83100,105,2931,4062,113900,1.0
630,5813,15025,26,3996,13830,12190,6784,1930,75,1930,1084000.0,106000,54,3883,5813,107000,0.0
492,6023,15319,53,3823,15047,12069,7671,1557,120,1557,745800.0,89000,120,4466,6023,129000,1.0
564,5373,15904,35,3893,14549,12366,6177,1248,107,1248,633400.0,118400,161,4125,5373,105900,0.0
458,4375,10779,84,2551,10653,8666,5486,994,172,994,436200.0,87200,174,3381,4375,78200,0.0
568,6875,17344,23,4224,17170,13251,8178,3244,345,3244,1666500.0,73300,124,3631,6875,107500,1.0
695,16031,42309,103,11540,41611,32975,18311,5251,351,5251,3508300.0,111400,442,10780,16031,123000,1.0
666,7185,17882,0,5117,17676,14438,8727,1641,4,1641,946500.0,148800,97,5544,7185,150700,0.0
559,3158,8273,23,1765,8207,6626,4164,894,28,894,354000.0,101400,102,2264,3158,117200,1.0
624,8348,24987,9,5699,22953,20030,10739,2050,173,2050,1224800.0,93800,128,6298,8348,84600,0.0
549,5173,13391,5,2938,13275,10875,6519,1209,48,1209,651100.0,101700,150,3964,5173,271900,1.0
535,12760,30905,17,8027,30233,23794,14423,4689,329,4689,2226200.0,69500,141,8071,12760,99400,1.0
736,40612,102413,261,29648,101627,81325,44462,10538,940,10538,7608200.0,156800,709,30074,40612,80800,0.0
666,9294,21834,4,5745,21577,17550,10963,2482,34,2482,1473300.0,92200,217,6812,9294,178400,1.0
610,3713,10144,0,2647,10019,8090,4580,896,68,896,488200.0,116300,40,2817,3713,160600,1.0
849,280174,688554,7047,211187,681702,541092,318178,115623,9827,115623,99318300.0,131500,4121,164551,280174,112300,0.0
650,14636,38131,11,10324,37556,29496,16681,4285,247,4285,2307100.0,98000,381,10351,14636,142000,1.0
638,9514,24947,7,6401,24636,19701,12886,2398,180,2398,1274900.0,126500,210,7116,9514,110000,0.0
991,15375,53132,132,12123,39627,42599,18911,7971,1406,7971,7119200.0,141700,508,7404,15375,157900,1.0
540,1956,4846,0,1152,4788,3908,2990,533,16,533,262400.0,84500,41,1423,1956,89800,1.0
761,22142,54308,154,15161,53887,44110,30535,8965,690,8965,6817500.0,124400,597,13177,22142,180700,1.0
566,9303,25714,18,5675,24269,20443,11724,2412,298,2412,1228500.0,105800,384,6891,9303,63100,0.0
737,33304,89425,315,24204,86315,70988,38674,12258,1856,12258,8744400.0,114800,1046,21046,33304,96300,0.0
629,3741,9046,2,2485,8853,7119,4648,931,37,931,499400.0,103600,80,2810,3741,78600,0.0
690,16105,44793,25,11826,42166,36440,18816,4542,229,4542,2951700.0,132500,337,11563,16105,58300,0.0
931,38706,101888,62,29417,101062,79397,41008,9494,696,9494,8558900.0,165800,521,29212,38706,75000,0.0
798,8185,20495,55,6254,20026,16287,8945,2038,112,2038,1537900.0,142000,108,6147,8185,73800,0.0
659,6410,17620,12,4616,16047,14210,7497,1843,120,1843,1106300.0,128900,117,4567,6410,63600,0.0
593,6156,16441,15,3721,16240,13063,7675,1650,90,1650,835400.0,107400,98,4506,6156,59900,0.0
575,2662,6688,13,1813,6535,5200,3210,733,64,733,365200.0,85600,50,1929,2662,50800,0.0
580,3983,9352,0,1951,9273,7978,6843,716,59,716,365400.0,90200,222,3267,3983,98800,1.0
828,18698,54800,37,14147,54290,42384,21456,4294,442,4294,3424800.0,154100,361,14404,18698,92500,0.0
586,5128,13916,11,3375,12182,11117,5717,2022,119,2022,1024300.0,73400,94,3106,5128,81200,1.0
556,3615,8676,0,2413,8572,6961,4857,924,37,924,460100.0,103100,271,2691,3615,103100,0.0
666,22151,58237,26,16395,57590,45945,24612,6284,382,6284,3864900.0,118200,216,15867,22151,124400,1.0
608,4075,9328,7,2076,9273,7788,5678,882,42,882,358000.0,91800,164,3193,4075,186500,1.0
636,6741,18517,12,4857,16253,14888,7903,1937,127,1937,1096300.0,106500,360,4804,6741,62000,0.0
993,142554,385115,409,115209,383181,303055,150013,28281,2576,28281,28882200.0,198500,1718,114273,142554,82400,0.0
527,1390,3669,17,835,3612,2863,2139,334,36,334,135100.0,82500,17,1056,1390,82300,0.0
564,4867,12226,5,3248,12042,9701,5990,1403,133,1403,714400.0,99800,12,3464,4867,104900,1.0
531,7488,18304,0,4526,18111,14222,8713,2377,123,2377,1060400.0,89500,153,5111,7488,78400,0.0
887,89709,236068,755,72722,234562,183996,96054,27742,2314,27742,25022500.0,160900,1587,61967,89709,187200,1.0
642,8170,20665,8,5707,20180,16246,9519,2590,144,2590,1553000.0,97100,103,5580,8170,142200,1.0
510,6087,15566,13,3759,15389,12403,7318,1808,67,1808,822700.0,107300,63,4279,6087,99600,0.0
628,8754,23010,74,6106,22549,18333,10150,2748,155,2748,1695800.0,96700,244,6006,8754,142100,1.0
627,8493,22744,9,6378,21906,19473,9685,3732,329,3732,2253500.0,117800,104,4761,8493,155200,1.0
503,888,2053,2,595,1996,1676,1275,217,22,217,85700.0,60600,9,671,888,155000,1.0
536,2842,7586,0,1782,7363,6063,4149,656,27,656,302800.0,81300,1,2186,2842,72300,0.0
583,4018,10111,75,2645,9936,7991,5014,1312,98,1312,614400.0,85100,66,2706,4018,71900,0.0
609,7774,20097,0,4069,19735,16158,15566,1915,96,1915,1125500.0,115600,321,5859,7774,131600,1.0
557,5482,13369,30,3087,13239,10857,8087,1278,91,1278,637600.0,72700,203,4204,5482,117200,1.0
584,4805,12347,42,2993,12262,9981,5886,933,81,933,453600.0,97100,73,3872,4805,102900,1.0
743,29613,78013,106,22247,76859,62972,33344,10260,870,10260,8089600.0,151900,682,19353,29613,93500,0.0
554,2446,6084,8,1780,5870,4805,3206,640,39,640,240300.0,70300,125,1806,2446,65400,0.0
614,13311,37558,60,9276,36636,28295,14650,3627,158,3627,2145000.0,122500,199,9684,13311,111900,0.0
518,2492,5335,10,1784,5248,4419,2965,731,52,731,352100.0,82000,59,1761,2492,139100,1.0
656,6704,16405,42,4461,16098,12873,7853,1765,149,1765,1001700.0,108300,150,4939,6704,92300,0.0
608,7982,18918,36,3882,18717,16120,14174,1487,111,1487,864900.0,114600,317,6495,7982,168300,1.0
723,4875,11895,30,3639,11674,9681,5683,1449,140,1449,982900.0,157000,125,3426,4875,114300,0.0
594,6208,16468,12,4609,16337,12466,7311,2336,86,2336,1365400.0,128000,122,3872,6208,189300,1.0
398,2290,5812,16,1516,5766,4593,2906,858,35,858,286600.0,123000,59,1432,2290,84000,0.0
590,365,790,0,272,790,656,456,112,0,112,48800.0,105500,0,253,365,68600,0.0
514,1791,4139,11,1142,4098,3311,2353,516,61,516,178700.0,117800,28,1275,1791,152500,1.0
551,764,1610,0,573,1579,1395,1048,276,19,276,45800.0,110900,7,488,764,105700,0.0
664,8244,19249,19,4289,19068,16155,11649,1694,328,1694,1052600.0,175500,361,6550,8244,180500,0.0
723,7552,16001,102,5169,15909,13358,9524,2197,156,2197,1483600.0,235600,55,5355,7552,72300,0.0
389,3203,11218,40,2118,10988,7937,4124,1351,214,1351,519300.0,116400,31,1852,3203,168300,1.0
480,2314,6646,22,1736,6550,4853,2848,948,89,948,375100.0,85800,26,1366,2314,113900,1.0
542,859,2245,9,611,2224,1896,1110,334,25,334,82700.0,108000,41,525,859,120200,1.0
683,1531,3646,117,974,3623,2938,2163,389,29,389,196200.0,225900,37,1142,1531,152600,0.0
833,4523,11405,4,3567,11405,8918,5157,1691,245,1691,1281800.0,213000,40,2832,4523,173200,0.0
676,2413,6040,7,1653,5976,4770,2918,731,25,731,401700.0,156600,66,1682,2413,140900,0.0
444,549,1325,0,342,1307,1053,679,62,22,62,24700.0,100700,22,487,549,138600,1.0
562,1871,5031,0,1319,4389,4162,2373,785,96,785,292800.0,125200,83,1086,1871,88500,0.0
511,4181,13677,0,2581,13551,9687,5382,1713,129,1713,854900.0,105000,79,2468,4181,104200,0.0
738,1241,2925,0,1019,2856,2248,1531,401,23,401,197900.0,154200,9,840,1241,154000,0.0
677,876,1788,0,556,1760,1454,1137,203,40,203,132800.0,123500,10,673,876,107700,0.0
697,3797,9342,73,2722,9296,7597,4878,844,110,844,534800.0,225200,63,2953,3797,106200,0.0
820,325,747,0,221,747,622,455,91,0,91,43900.0,98300,5,234,325,87100,0.0
527,925,1965,5,571,1965,1695,1326,263,14,263,75600.0,138500,16,662,925,212700,1.0
606,15256,34514,57,10679,33928,28225,17088,5118,382,5118,3326800.0,133800,241,10138,15256,99000,0.0
522,3984,9131,0,2409,8535,7919,5182,1193,53,1193,589800.0,116700,105,2791,3984,74100,0.0
714,4512,11625,0,3224,11458,9587,5104,672,31,672,387200.0,264000,73,3840,4512,177500,0.0
516,1309,3206,0,832,3178,2685,2835,361,68,361,145200.0,218900,57,948,1309,144400,0.0
600,720,1728,0,401,1707,1327,1048,139,18,139,37700.0,111900,0,581,720,75600,0.0
575,820,2108,11,506,2076,1621,1240,291,34,291,83100.0,89300,16,529,820,191300,1.0
734,3487,7902,17,2271,7842,6823,6999,804,531,804,394400.0,252200,98,2683,3487,112000,0.0
558,3205,9292,11,2469,9213,6980,4180,893,66,893,455700.0,118600,106,2312,3205,142400,1.0
712,1661,3568,7,1247,3519,2882,2150,400,26,400,210200.0,146500,17,1261,1661,86900,0.0
700,565,1320,0,329,1298,1086,811,96,8,96,28100.0,97900,0,469,565,191400,1.0
650,4045,9324,4,3237,9011,7415,4336,1237,57,1237,843300.0,154300,28,2808,4045,110900,0.0
661,3710,13290,18,2865,13160,9192,4737,1437,64,1437,806600.0,100000,5,2273,3710,80800,0.0
640,2405,5755,0,1618,5711,4762,2743,385,11,385,214100.0,195000,34,2020,2405,159900,0.0
665,11796,29518,80,7676,29358,23087,16811,3330,246,3330,1990900.0,224100,237,8466,11796,122600,0.0
819,27534,66290,97,20909,65677,53513,31250,8609,639,8609,7053500.0,220600,241,18925,27534,219600,0.0
591,2218,6081,0,1506,6012,4730,2678,615,71,615,259400.0,122100,63,1603,2218,82100,0.0
825,64020,156332,439,48810,154062,123106,68561,20483,1283,20483,18496400.0,210500,580,43537,64020,149400,0.0
792,47963,114231,1194,36977,113621,94465,52559,19729,1160,19729,16462700.0,259600,234,28234,47963,86000,0.0
756,16936,41387,0,10445,41146,34040,19788,4404,261,4404,3403700.0,246600,460,12532,16936,113100,0.0
609,3432,7561,18,2347,7448,6142,4870,899,29,899,393400.0,135600,117,2533,3432,87200,0.0
694,34383,81816,249,24448,78089,65244,38313,11824,840,11824,8339300.0,168100,444,22559,34383,87200,0.0
710,4953,11327,0,3450,11146,9251,5906,1487,32,1487,907700.0,133700,163,3466,4953,121500,0.0
500,451,1086,3,273,1086,889,846,86,4,86,18300.0,116300,11,365,451,78300,0.0
564,1694,4194,5,1027,4140,3525,2503,496,88,496,272600.0,159800,44,1198,1694,186100,1.0
481,206,453,0,148,453,396,307,72,7,72,14200.0,112000,0,134,206,93000,0.0
571,2400,6852,2,1742,5244,6027,3169,739,20,739,380000.0,141000,18,1661,2400,65500,0.0
633,4994,11414,2,2541,11284,9523,6754,1209,54,1209,628000.0,205000,146,3785,4994,142200,0.0
825,497,1121,0,339,1096,903,570,103,5,103,74900.0,110100,0,394,497,160900,1.0
948,40723,100733,126,33273,100355,82265,46600,15634,1022,15634,15248800.0,303700,497,25089,40723,140800,0.0
600,777,2000,0,526,1975,1551,1391,230,56,230,83800.0,136300,31,547,777,153500,1.0
754,4565,10466,53,3086,10380,8796,6543,957,136,957,677900.0,227400,30,3608,4565,98000,0.0
591,3978,9360,1,2767,9233,7998,5318,1355,97,1355,754200.0,192600,68,2623,3978,269200,1.0
798,38006,96147,367,27037,95564,76947,48154,10656,1099,10656,8443400.0,246500,968,27350,38006,206800,0.0
680,2073,4766,0,1243,4733,3851,2744,620,84,620,282200.0,161400,140,1453,2073,241200,1.0
581,897,1913,0,567,1861,1594,1297,176,10,176,67700.0,81800,15,721,897,138800,1.0
625,316,684,3,178,658,594,435,80,15,80,39200.0,85800,18,236,316,112400,1.0
690,2017,4903,0,1481,4741,3841,2445,578,24,578,272400.0,87400,47,1439,2017,255400,1.0
616,2814,7041,0,2079,6930,5748,3513,791,162,791,496300.0,114600,39,2023,2814,156400,1.0
699,6496,17045,5,5064,16761,13540,7063,1891,63,1891,1380900.0,159700,70,4605,6496,331500,1.0
531,293,643,0,201,643,526,402,89,14,89,37900.0,82300,25,204,293,286700,1.0
686,7427,20529,19,5917,20314,15164,7807,2536,65,2536,1604800.0,116400,0,4891,7427,448000,1.0
460,1499,3597,6,976,3517,2871,1910,298,23,298,102800.0,75600,49,1201,1499,355200,1.0
529,2748,6406,0,1968,6310,5134,3318,630,68,630,288900.0,78500,45,2118,2748,255400,1.0
613,1671,3803,0,1134,3734,3046,1938,326,19,326,133100.0,109900,45,1345,1671,349200,1.0
674,3400,8105,7,2497,7934,6453,4073,682,34,682,409900.0,111500,36,2718,3400,169700,1.0
559,2616,6264,0,1926,6165,4942,3023,595,41,595,323500.0,85000,69,2021,2616,476500,1.0
658,177,421,0,120,421,298,261,65,2,65,20600.0,101500,0,112,177,333500,1.0
608,4792,10836,0,3487,10714,8627,5626,1345,111,1345,703200.0,92800,114,3447,4792,348000,1.0
560,1367,3019,5,930,2956,2518,1727,225,48,225,102300.0,62000,75,1142,1367,295000,1.0
656,9255,21632,7,6702,21332,17316,10422,2917,422,2917,1861500.0,108800,31,6338,9255,302800,1.0
690,3722,9149,0,2921,9010,7262,4066,695,33,695,458600.0,136200,125,3027,3722,179300,1.0
546,245,537,0,170,537,449,420,45,0,45,10900.0,159100,4,200,245,208200,1.0
563,3308,7276,0,2278,7164,5903,3913,878,60,878,434600.0,75500,50,2430,3308,171700,1.0
713,2745,6547,0,2078,6474,5120,2953,839,48,839,588600.0,128600,53,1906,2745,237300,1.0
600,3989,8129,56,2734,8068,6692,5442,1297,39,1297,685700.0,108400,47,2692,3989,199600,1.0
643,14236,35062,66,11187,34438,27122,15200,4923,321,4923,3082600.0,126100,111,9313,14236,463200,1.0
686,1247,2904,2,863,2867,2283,1447,264,21,264,179400.0,105600,18,983,1247,384100,1.0
574,3870,9163,0,2851,8928,7219,4239,1144,89,1144,698300.0,120000,22,2726,3870,667400,1.0
747,8150,20953,4,6252,20683,16298,9525,1705,99,1705,1169800.0,159400,92,6445,8150,476500,1.0
729,14425,36509,27,10880,35917,28340,16393,4492,232,4492,3208300.0,116600,200,9933,14425,208500,1.0
680,3602,9409,0,2982,9375,7769,3869,1313,44,1313,853800.0,133000,35,2289,3602,389900,1.0
575,334,720,0,218,720,597,523,92,13,92,36900.0,72000,23,242,334,290100,1.0
684,1546,3688,6,1157,3627,2929,1947,515,77,515,331500.0,83200,36,1031,1546,203100,1.0
510,3662,8496,2,2650,8277,6758,4907,971,63,971,398400.0,85100,82,2691,3662,356700,1.0
683,15025,35569,53,11153,35153,27964,16745,5371,389,5371,3550300.0,130800,116,9654,15025,229300,1.0
601,3251,7829,13,2396,7715,6265,3782,820,98,820,483000.0,90900,13,2431,3251,452500,1.0
594,2985,7175,0,2246,7041,5622,3255,579,51,579,287500.0,102600,45,2406,2985,277200,1.0
592,579,1256,0,378,1256,1025,804,141,5,141,59500.0,103200,13,438,579,1056500,1.0
613,2885,6546,0,2017,6446,5222,3488,698,78,698,377200.0,91600,109,2187,2885,155700,1.0
779,9894,25513,13,7707,25028,20075,11391,1801,159,1801,1446600.0,166200,151,8093,9894,157400,0.0
652,3790,9039,0,2850,8890,7092,4239,1210,89,1210,730200.0,113200,176,2580,3790,112000,0.0
671,2307,5765,0,1721,5683,4484,2712,454,41,454,261900.0,87600,32,1853,2307,123500,1.0
507,875,2017,0,627,1978,1548,1146,280,10,280,82600.0,73900,35,595,875,112200,1.0
425,274,682,0,194,680,551,386,51,7,51,4700.0,55300,10,223,274,256300,1.0
549,1015,2436,12,644,2409,1933,1310,198,34,198,114900.0,69400,33,817,1015,88400,1.0
708,22817,61233,278,18672,60427,46337,24476,8739,382,8739,6236900.0,136500,275,14078,22817,113500,0.0
491,423,957,2,278,957,783,528,140,12,140,30600.0,77500,4,283,423,131500,1.0
659,6439,15875,12,4815,15632,12523,7139,1774,43,1774,1079200.0,130700,123,4665,6439,179300,1.0
605,4598,10870,0,3227,10616,8702,5311,1145,135,1145,638600.0,91500,55,3453,4598,101300,1.0
621,3508,8561,2,2664,8412,6667,4138,678,85,678,387400.0,113600,86,2830,3508,95600,0.0
632,3557,8972,0,2524,8896,7542,4240,1335,195,1335,815900.0,107500,79,2222,3557,122600,1.0
611,1869,5200,3,1302,3995,4376,2160,487,82,487,284700.0,82200,32,1382,1869,137600,1.0
685,4400,10012,0,3379,9914,7877,4984,1291,98,1291,871400.0,114100,80,3109,4400,146300,1.0
699,8898,23925,0,7178,23641,18053,10203,2951,157,2951,2001400.0,101000,152,5947,8898,86800,0.0
369,893,1958,5,579,1913,1613,1206,191,5,191,70200.0,96100,17,702,893,101400,1.0
644,192,432,0,126,432,345,244,64,7,64,30900.0,137500,4,128,192,167900,1.0
500,1553,3569,0,1065,3472,2873,1858,334,20,334,157700.0,80400,34,1219,1553,94300,1.0
522,1238,2704,0,729,2666,2208,1611,244,19,244,132500.0,71100,3,994,1238,97300,1.0
777,2351,6020,0,1881,5978,4627,2668,391,10,391,279800.0,111900,125,1960,2351,133300,1.0
614,1934,4252,0,1422,4208,3432,2305,549,65,549,328300.0,92700,6,1385,1934,137700,1.0
529,378,846,0,268,846,716,558,113,0,113,34000.0,104300,3,265,378,107400,0.0
572,1590,3469,5,1033,3418,2805,2398,364,6,364,181800.0,83200,14,1226,1590,115100,1.0
647,5623,13832,0,4222,13172,11098,6304,1650,129,1650,1022600.0,128400,105,3973,5623,146500,1.0
705,232,502,1,181,502,408,340,91,0,91,20200.0,85900,5,141,232,246000,1.0
755,18923,48834,45,15330,48238,38596,20064,6992,270,6992,5246900.0,161200,221,11931,18923,90000,0.0
591,3681,10616,0,3045,10531,7703,4172,1162,18,1162,668000.0,94300,31,2519,3681,134700,1.0
658,833,1901,0,618,1882,1562,1037,207,16,207,113100.0,76300,13,626,833,77800,0.0
627,1273,2860,2,854,2823,2288,1741,337,16,337,145100.0,58400,22,936,1273,102700,1.0
553,366,919,0,274,919,691,426,113,9,113,27000.0,110900,8,253,366,102700,0.0
684,12937,32875,14,10238,32585,25353,13719,3730,93,3730,2512500.0,136600,51,9207,12937,104100,0.0
612,2038,5244,6,1534,5150,4205,2719,401,37,401,223800.0,100200,57,1637,2038,124100,1.0
555,2337,5133,1,1624,4985,4168,2715,523,49,523,260100.0,67500,10,1814,2337,135000,1.0
575,4610,11200,3,3383,11037,8705,5459,1305,110,1305,735300.0,105400,49,3305,4610,157600,1.0
492,1475,3058,0,983,3013,2499,1876,400,37,400,153900.0,80200,20,1075,1475,106900,1.0
655,12659,31564,106,9432,31285,24959,13794,4014,272,4014,2586100.0,115300,153,8645,12659,91100,0.0
604,2306,5241,0,1546,5176,4189,2916,684,102,684,344400.0,70900,45,1622,2306,84400,1.0
787,120962,306357,1853,98821,301968,242856,127262,48317,2413,48317,39832800.0,162900,927,72645,120962,100000,0.0
596,2277,5357,0,1604,5255,4253,2664,504,51,504,268300.0,105600,28,1773,2277,102300,0.0
505,1985,4318,6,1308,4237,3566,2455,485,49,485,195600.0,62300,128,1500,1985,153800,1.0
528,655,1381,0,448,1343,1175,898,157,24,157,71400.0,83700,1,498,655,117700,1.0
513,300,728,0,218,728,582,405,95,0,95,29100.0,137200,3,205,300,149900,1.0
613,1113,2624,5,745,2616,2168,1566,259,47,259,138900.0,98200,19,854,1113,111200,1.0
510,1378,3048,3,977,2986,2482,1946,254,60,254,96200.0,85400,25,1124,1378,93500,1.0
871,213689,549706,3364,172811,543154,422816,229717,83107,6630,83107,75754200.0,155100,2193,130582,213689,135500,0.0
499,3798,8045,0,2657,7899,6575,4400,860,35,860,322200.0,69300,31,2938,3798,105300,1.0
609,2656,6385,0,1888,6378,4996,3047,617,74,617,371500.0,119600,30,2039,2656,125100,1.0
598,4569,10293,21,3376,10130,8058,5234,1281,83,1281,781000.0,102900,84,3288,4569,83800,0.0
556,2172,4814,0,1530,4731,3870,2726,613,43,613,317900.0,65300,49,1559,2172,163500,1.0
621,885,2019,12,637,1983,1687,1286,269,6,269,131900.0,116300,0,616,885,157700,1.0
723,5073,14325,8,3888,14043,11267,5818,1610,65,1610,1239300.0,95000,52,3463,5073,100500,1.0
943,63851,175188,144,54486,171101,131124,66943,19388,1344,19388,19272200.0,173900,559,44463,63851,97700,0.0
578,2142,7055,33,1599,7005,4791,2435,858,60,858,459800.0,79100,79,1284,2142,115300,1.0
706,8133,20414,17,6197,20234,16093,8508,1910,59,1910,1392600.0,182400,109,6223,8133,102700,0.0
475,905,2049,0,573,2022,1661,1393,165,22,165,44100.0,63800,33,740,905,162900,1.0
699,2652,5792,0,1994,5740,4628,3176,1013,51,1013,444200.0,119800,19,1639,2652,147300,1.0
719,15090,36576,31,11470,36025,28818,16699,5443,278,5443,3863700.0,119600,210,9647,15090,110500,0.0
590,2443,5603,2,1748,5374,4610,2927,612,71,612,317000.0,76100,129,1831,2443,69900,0.0
934,30529,76109,153,22842,75355,64060,35304,9076,436,9076,8439300.0,188700,523,21453,30529,178300,0.0
1007,57247,147958,245,43492,144508,122595,64449,16631,1137,16631,16305900.0,226700,729,40616,57247,66200,0.0
904,34856,89280,659,25835,88326,76118,52347,11054,949,11054,10460700.0,215600,666,23802,34856,132400,0.0
1164,119955,302479,1351,96219,300188,249570,130187,27930,1148,27930,33335000.0,295900,1183,92025,119955,83000,0.0
933,24579,60383,11,17713,59629,50354,38148,5960,358,5960,5545900.0,220400,558,18619,24579,66900,0.0
893,17780,43073,71,13241,42581,35666,22566,4726,357,4726,4058400.0,171100,342,13054,17780,79400,0.0
1132,158139,406371,1788,126851,402033,330660,169289,54001,3014,54001,61083800.0,256300,1187,104138,158139,81000,0.0
1018,48543,126552,1327,37914,125124,104864,53109,16698,1182,16698,17541700.0,220900,491,31845,48543,113900,0.0
711,13879,32119,11,9293,30072,27526,21491,3997,266,3997,2661100.0,123200,309,9882,13879,167600,1.0
920,21203,47524,72,14203,47059,40854,40729,4333,168,4333,3727400.0,227600,520,16870,21203,128800,0.0
792,9734,24022,0,6735,23152,18891,10867,3473,300,3473,2449300.0,169100,57,6261,9734,71500,0.0
1094,20376,47632,33,13176,47330,40149,24063,6233,179,6233,6788400.0,311400,264,14143,20376,138500,0.0
625,2183,5887,300,1651,5845,4422,2688,407,43,407,240500.0,151900,58,1776,2183,113100,0.0
648,2018,6661,22,1451,4714,5706,2469,603,109,603,412700.0,101100,37,1415,2018,63300,0.0
497,494,1102,0,277,1097,920,992,225,77,225,85200.0,73500,10,269,494,95400,1.0
695,765,1728,78,569,1723,1393,1167,237,17,237,110400.0,83100,7,528,765,68200,0.0
832,6261,17088,1206,5081,16871,12924,7455,1449,133,1449,1066600.0,163500,142,4812,6261,75500,0.0
518,1859,4471,0,1159,4399,3647,2770,649,166,649,288100.0,90900,64,1210,1859,79200,0.0
696,3343,9858,58,2383,8381,8032,4512,792,109,792,506300.0,130600,183,2551,3343,110500,0.0
904,17882,52377,3875,15216,51729,39478,21075,5255,842,5255,4576500.0,198100,160,12627,17882,69400,0.0
592,1930,5203,0,1076,4696,4386,2661,594,115,594,298600.0,132900,15,1336,1930,100900,0.0
792,18077,43296,164,9635,42853,36802,22348,5548,336,5548,4143700.0,125100,387,12529,18077,77800,0.0
747,1665,3891,29,1065,3860,3507,1969,285,0,285,221000.0,187100,86,1380,1665,64300,0.0
947,173519,445551,4089,130816,442940,358173,191068,73382,5172,73382,74616700.0,268100,2954,100137,173519,90100,0.0
1048,749858,2112436,35708,573727,2088806,1667625,877617,354657,42970,354657,385638700.0,212300,13820,395201,749858,72200,0.0
868,22158,54219,62,15238,52287,44354,23722,9967,538,9967,9228400.0,217400,105,12191,22158,105100,0.0
919,20127,52303,12,13946,52010,42077,22979,5879,317,5879,5151000.0,158000,643,14248,20127,72200,0.0
1315,232482,627551,24400,179605,623613,507976,260524,60922,3175,60922,82770000.0,396200,4333,171560,232482,126800,0.0
1191,129546,373362,13974,100482,367599,302590,144385,46358,3397,46358,56925300.0,281900,2132,83188,129546,106500,0.0
1244,53618,143570,1282,42788,142397,117479,62275,9276,807,9276,11188900.0,264100,1167,44342,53618,195400,0.0
1003,50596,154952,1025,36608,143496,122276,56332,18351,903,18351,17734900.0,160500,722,32245,50596,269500,1.0
1499,115970,333316,8603,94877,330448,266861,125762,27782,3159,27782,42328700.0,412800,2294,88188,115970,231900,0.0
1107,280327,800401,76502,214770,788754,630252,315186,155475,14137,155475,172618800.0,362300,4433,124852,280327,582400,1.0
1368,223135,589699,4564,147424,584418,465057,281171,44565,1678,44565,59181100.0,267900,4472,178570,223135,184200,0.0
1070,100660,272926,7959,74708,270265,220413,127809,32815,2503,32815,34492500.0,219000,2002,67845,100660,549900,1.0
1134,104810,291372,3137,82508,290110,233391,112516,21379,1923,21379,24592500.0,213800,1319,83431,104810,568700,1.0
1384,283794,837288,38337,228889,828230,675067,299753,103310,5585,103310,142551100.0,329000,3047,180484,283794,177100,0.0
981,24038,63776,302,17282,62626,51479,27584,6885,541,6885,6502500.0,185800,791,17153,24038,326400,1.0
1238,162440,510563,21294,125143,506947,401342,176843,75539,3647,75539,90788600.0,333200,1775,86901,162440,707800,1.0
1086,39861,94549,834,26891,92434,79862,99014,8961,5610,8961,8941900.0,295500,1783,30900,39861,330100,1.0
1018,187012,510996,17960,142296,505446,406282,205883,62004,3511,62004,64242000.0,193500,2390,125008,187012,603700,1.0
1419,337819,937920,68921,268195,931733,761286,355632,119753,5041,119753,177689300.0,451200,3908,218066,337819,477200,1.0
1219,187916,557320,31709,149861,552755,440546,201442,77154,3877,77154,95001100.0,351800,3490,110762,187916,173200,0.0
1056,41385,107088,579,31783,106181,87767,45398,11862,640,11862,12337600.0,256700,1213,29523,41385,526300,1.0
1286,252352,679756,146999,204379,675541,554677,277742,173236,12522,173236,245736100.0,349500,3272,79116,252352,395500,1.0
1388,46822,125717,1683,36809,121490,103806,49984,7637,642,7637,10355600.0,393800,822,39185,46822,296600,0.0
1263,164404,449192,7900,129834,434992,364927,178178,38847,2926,38847,50031700.0,245300,2237,125557,164404,349000,1.0
1420,180124,498847,13751,145667,494902,403879,191642,44927,3369,44927,66052700.0,438100,2123,135197,180124,356800,0.0
778,41999,128221,176,31678,126898,96817,50716,11352,1390,11352,8515900.0,143300,849,30647,41999,711000,1.0
524,3085,8447,0,1526,8404,6731,5659,970,57,970,421700.0,72200,25,2115,3085,543400,1.0
727,7902,19497,8,4397,19346,16339,17976,1712,753,1712,1043100.0,171900,885,6190,7902,330600,1.0
727,23343,65454,129,16619,64465,50052,27085,7473,1203,7473,4949000.0,106400,555,15870,23343,913000,1.0
831,22029,69505,124,17305,67623,50611,25937,7030,1160,7030,5268500.0,118500,322,14999,22029,959200,1.0
987,61651,147514,950,41667,145821,122691,72746,18305,1605,18305,18125200.0,277700,1093,43346,61651,186300,0.0
530,1424,4216,14,890,3601,3424,2343,487,21,487,216500.0,89500,27,937,1424,242500,1.0
568,5400,11254,4,2513,11005,9638,8490,1381,301,1381,698000.0,99600,405,4019,5400,204000,1.0
591,4698,17098,22,2484,17002,13343,8179,1125,494,1125,638600.0,103000,288,3573,4698,537900,1.0
762,7125,19313,0,5142,18717,15000,8434,2767,382,2767,1916000.0,114300,260,4358,7125,222000,1.0
