Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
1229,1849,7715,7,1588,7689,5300,2713,794,77,794,759000.0,145800,4,1055,1849,140900,0.0
1253,4524,17957,32,3985,17659,12200,5995,1663,92,1663,1473900.0,152600,27,2861,4524,122900,0.0
1029,2041,9757,10,1725,9677,7551,2591,981,91,981,829200.0,153900,17,1060,2041,255700,1.0
1104,3545,8810,53,2767,8631,7106,4175,1537,154,1537,1488600.0,350900,97,2008,3545,119400,0.0
1272,36396,100031,472,31434,92924,78105,43866,14930,2073,14930,19373400.0,230600,444,21466,36396,89800,0.0
1139,5270,13745,210,4119,13474,10963,6310,2009,217,2009,2218700.0,265700,71,3261,5270,114000,0.0
1098,30613,101135,335,24027,99208,76585,41704,7204,754,7204,7542400.0,235600,733,23409,30613,217400,0.0
1030,255,682,3,197,682,548,400,101,13,101,74000.0,185000,4,154,255,163000,0.0
1343,2897,9869,11,2522,9649,6852,4082,1142,80,1142,1143000.0,143000,14,1755,2897,136300,0.0
1039,1405,4974,18,1179,4956,3601,2444,534,54,534,371400.0,189500,11,871,1405,165700,0.0
1016,1087,2537,8,759,2531,2078,1619,318,29,318,276800.0,243100,15,769,1087,136100,0.0
1181,12273,32434,897,10119,31791,26154,13451,4240,281,4240,5016100.0,343100,183,8033,12273,141100,0.0
746,408,1301,1,346,1301,987,1406,130,42,130,74300.0,118500,10,278,408,143300,1.0
1088,2139,6889,19,1618,6780,5214,3915,606,169,606,532600.0,191700,120,1533,2139,120300,0.0
653,1959,5453,6,1523,5425,4105,4067,580,76,580,235500.0,80600,53,1379,1959,277500,1.0
1261,106012,298225,2557,90493,286906,231729,115748,42290,2926,42290,56377700.0,304500,1266,63722,106012,126300,0.0
989,812,3338,2,669,3333,2947,1051,330,41,330,199600.0,124700,9,482,812,89800,0.0
840,2315,6473,33,1694,6473,5103,3411,625,101,625,439700.0,169100,106,1690,2315,116800,0.0
793,1084,2475,7,686,2458,2060,1466,362,56,362,249900.0,194000,24,722,1084,101300,0.0
850,802,2146,16,597,2141,1831,1649,212,23,212,144900.0,226800,41,590,802,156600,0.0
1069,423,1038,7,371,1038,924,654,203,19,203,185400.0,293800,8,220,423,203700,0.0
885,1255,3275,13,885,3263,2608,1828,399,45,399,331400.0,205000,65,856,1255,235300,1.0
625,1752,8129,2,1506,8123,5233,2244,456,20,456,131900.0,88600,12,1296,1752,123500,1.0
861,398530,1007257,10981,277811,987178,814161,453948,151693,15280,151693,136921000.0,166300,7497,246837,398530,216900,1.0
1033,1489533,4155501,41538,1125531,4125142,3240638,1699628,581017,55255,581017,621625800.0,225000,31774,908516,1489533,262600,1.0
767,21585,53145,16,12055,52401,43414,33267,5856,441,5856,4086400.0,153600,713,15729,21585,131800,0.0
793,10976,37700,117,7790,33658,28550,13348,3507,450,3507,2463200.0,123500,794,7469,10976,134900,1.0
627,15568,46358,54,11089,46024,35135,18185,5100,485,5100,3097700.0,138400,556,10468,15568,166000,1.0
805,49160,126516,62,31731,115099,101372,60653,15282,2867,15282,12077200.0,144400,1671,33878,49160,133300,0.0
570,8798,20477,13,4195,20309,17483,16271,2265,479,2265,1250000.0,77400,770,6533,8798,224200,1.0
786,83902,204691,578,45755,200916,172208,113220,26566,2748,26566,20194500.0,138700,2674,57336,83902,259400,1.0
487,19530,71602,183,11258,70807,53700,32748,4366,715,4366,2146000.0,72800,429,15164,19530,102500,1.0
1079,47588,138639,817,37506,137820,112345,64911,19353,1677,19353,19807500.0,241400,826,28235,47588,155000,0.0
919,94343,220972,221,54559,219401,187588,113915,27660,2398,27660,24979400.0,215000,2360,66683,94343,239500,1.0
830,71670,204281,1261,49674,197418,157101,90931,23289,2274,23289,18538700.0,117000,1540,48381,71670,126500,1.0
429,3364,9368,0,2554,9325,7011,4445,1778,233,1778,840400.0,87500,400,1586,3364,118300,1.0
690,34251,107902,310,21120,105552,81333,57638,10656,873,10656,6381200.0,115100,1025,23595,34251,167900,1.0
1014,133513,405537,329,85314,380940,319302,168786,36585,3557,36585,31969900.0,157200,4530,96928,133513,111800,0.0
686,29217,78706,16,20383,78113,62133,33525,9585,1196,9585,6210500.0,116400,544,19632,29217,78300,0.0
661,3452,8528,21,2213,8360,6761,4575,881,78,881,383800.0,62700,67,2571,3452,136000,1.0
593,9325,26688,0,5636,23288,21411,10989,3863,482,3863,1997700.0,61900,223,5462,9325,89400,1.0
825,155435,392848,1717,116542,386754,310166,182288,63932,12158,63932,53183500.0,148300,3908,91503,155435,66800,0.0
557,6428,15190,0,4121,15054,12219,8035,1913,365,1913,949600.0,70000,145,4515,6428,127400,1.0
663,6726,17164,9,4845,16940,13589,7964,2183,391,2183,1190700.0,79400,223,4543,6726,108500,1.0
655,3144,7585,1,1966,6944,6073,4300,988,81,988,533900.0,64500,436,2156,3144,68800,1.0
647,7038,18620,0,4657,18211,15075,8575,2413,442,2413,1236600.0,93200,251,4625,7038,115100,1.0
664,9337,23992,6,6143,23566,19658,11625,3199,305,3199,1591500.0,76200,316,6138,9337,98000,1.0
578,7339,17514,0,4359,17157,13841,8558,2057,110,2057,1006600.0,81500,76,5282,7339,183700,1.0
812,43314,116252,23,31962,115077,91908,47742,9890,786,9890,7956900.0,147400,995,33424,43314,81900,0.0
616,6867,16751,0,3703,16559,13772,10413,1579,182,1579,747800.0,98900,370,5288,6867,185800,1.0
631,14887,37212,15,9834,36790,29695,16966,4158,293,4158,2482600.0,116600,543,10729,14887,67100,0.0
576,5189,13521,0,2895,12641,11353,7263,1107,130,1107,484700.0,79400,502,4082,5189,120700,1.0
618,14288,37097,36,9897,36603,29327,16393,4183,306,4183,2292600.0,104400,421,10105,14288,122600,1.0
539,3928,13885,0,2652,9086,11708,4914,982,76,982,407100.0,66100,64,2946,3928,79100,1.0
562,8269,21802,33,5165,21550,17505,10173,2207,169,2207,1112000.0,90400,192,6062,8269,81100,0.0
727,6851,18076,7,4824,17909,14447,7947,1382,128,1382,862400.0,123500,42,5469,6851,84200,0.0
713,18659,49278,52,13233,48739,37066,21696,8072,1124,8072,5328900.0,106300,358,10587,18659,92900,0.0
598,6862,17803,59,4125,17492,14151,8058,1810,81,1810,937500.0,90600,122,5052,6862,109500,1.0
777,43835,121282,59,33701,120096,95819,49475,16506,2366,16506,12952500.0,153500,581,27329,43835,162600,1.0
512,4313,10893,16,2935,10747,8733,5624,984,93,984,383200.0,78600,156,3329,4313,120300,1.0
702,27377,71373,55,18283,66984,56823,33308,9990,1012,9990,6381400.0,81800,472,17387,27377,114900,1.0
